Nama;Kegiatan;Kecamatan;Alamat;kategori;lat;lng;;
Ayam Geprek Mbak Andri;menjual ayam geprek;Banjarsari;Mangkubumen Rt3 Rw5 Banjarsari;Kuliner;-7.5564254;110.8170265;;
Kedai Jajaners Rice Bowl;menjual ricebowl;Jebres;Pucangsawit;Kuliner;-7.5708366;110.8519323;;
Kelontong Suryani;menjual sembako;Jebres;Pucangsawit;Lain-lain;-7.5711153;110.8516688;;
Los Sayur Pak Nur Amin (Lt2,A8);Menjual Sayuran;Banjarsari;Pasar Nusukan;Lain-lain;-7.5464509;110.8212172;;
Salon Surati;salon kecantikan;Jebres;Pucangsawit;Lain-lain;-7.5711144;110.8516732;;
Salon Lina;salon ;Jebres;Pucangsawit;Lain-lain;-7.5707048;110.8512967;;
Kios Sembako Pak Mujiyanto (Lt2,84);Toko Kelontong;Banjarsari;Pasar Nusukan;Lain-lain;-7.5464767;110.8212197;;
Wedangan Mbk Rochani;warung wedangan;Pasar Kliwon;Mojo;Kuliner;-7.5896876;110.8381646;;
Kios Baju Bekas Pak Sarmin Pasar Gading;menjual baju bekas;Pasar Kliwon;Gurawan;Fashion;-7.58344531338766;110.82645068443900;;
Lontong Sayur Bu Wartini;menjual lontong sayur;Pasar Kliwon;Menangan ;Kuliner;-7.5852152;110.8280857;;
Pisang Molen Mbak Cumpluk;menjual molen pisang;Banjarsari;Mangkubumen Rt7 Rw 02 Banjarsari;Kuliner;-7.5555042;110.8155515;;
Sembako Pak Mardianto;menjual sayur mentah dan berbagai sembako;Banjarsari;Mangkunegaran Rt7 Rw2 Banjarsari Surakarta;Lain-lain;-7.5565477;110.8169148;;
Warung Jajan Anak;menjual aneka snack makanan ringan;Pasar Kliwon;Menangan ;Kuliner;-7.5851956;110.8280811;;
Penjahit Dony;menjahit pakaian;Pasar Kliwon;Penumping;Fashion;-7.5752065;110.8263961;;
Kios Rokok Pak Bibit;MENJUAL ROKOK DAN AIR MINERAL BOTOL;Banjarsari;"Jl. Wedi Sastro Muh. Salleh
Setabelan
(Depan Lava Bar & Kitchen) ";Lain-lain;-7.5626462;110.8285233;;
Toko Kelontong Cik Chu;MENJUAL ROKOK, SABUN MANDI, SABUN CUCI, PASTA GIGI, BERAS, GULA PASIR. SHAMPO, DLL;Banjarsari;"Jogobayan
Setabelan";Lain-lain;-7.5635038;110.8271829;;
La Cosa Cecilia;jasa fotografi & desain;Banjarsari;Dukuhan Nayu Rt 02 Rw 08 Joglo Banjarsari Solo Jateng;Desain;-7.5466938;110.8292047;;
Warung Wibu.Pak Bob;menjual nasi+lauk(ayam/ikan/lele goreng);Pasar Kliwon;Sangkrah Rt2/6;Kuliner;-7.5768167;110.8373517;;
Toko Bima;beli. kulak bahan toko kelontong gas aqua dll, jual kembali;Pasar Kliwon;Sangkrah Rt.01 Rw.10, Sangkrah, Pasar Kliwon,Surakarta;Lain-lain;-7.5801288;110.8399982;;
Dina Olshop;menjual mukena;Laweyan;Panularan Rt004 Rw003;Fashion;-7.5747743;110.8063097;;
Moonbeam Official;Menjual kerajinan tangan;Laweyan;Panularan Rt01 Rw04;Kriya;-7.5746577;110.8063731;;
Warung Makan Bu Jum;Warung Makan;Jebres;Rejosari;Kuliner;-7.5633698;110.841842;;
Osaka Loundry;Loundy Pakaian;Jebres;Rejosari;Lain-lain;-7.5637081;110.8413432;;
Gas Rumi;MENJUAL GAS 3 KG DAN 12 KG;Jebres;Kepatihan Kulon;Lain-lain;-7.5616392;110.8297565;;
Warunh Kelontong Cik Penni;MENJUAL BARANG BARANG KEBUTUHAN HARIAN(BERAS, GULA PASIR, MIE INSTAN, ROKOK, TEH, DLL) ;Jebres;"Jl. Arifin No. 99
Kepatihan Kulon";Lain-lain;-7.5617992;110.8313067;;
Kios Buku Yosiko No 45;menjual buku;Laweyan;Kios Buku Sriwedari;Lain-lain;-7.5698831;110.8125708;;
Jual Sembako;menjual bahan pokok;Jebres;Pasar Tanggul;Lain-lain;-7.571393944444440;110.8409576388880;;
Kios Sembako;JUAL KEBUTUHAN POKOK;Jebres;Pasar Tanggul;Lain-lain;-7.5714669444444400;110.84099577777700;;
Warung Makan Mbok'E U'Uk;Menjual makanan dan minuman;Jebres;Kepatihan Kulon Rt 5 Rw 2;Kuliner;-7.5637784;110.8287936;;
Snack Ilham;menjual berbagi mcam snack;Pasar Kliwon;Semanggi;Kuliner;-7.5801399;110.8389453;;
Warung Berkah;menjual sembako;Pasar Kliwon;Semanggi;Lain-lain;-7.5800023;110.8389969;;
Jual Beli Ac Bekas;menjual ac bekas;Pasar Kliwon;Semanggi;Lain-lain;-7.5801433;110.8389387;;
Daster Sambung;membuat pakaian wanita ;Serengan ;Tipes ;Fashion;-7.5801631;110.8075513;;
Daster Sambung Bu Marsih;membuat pakaian wanita ;Serengan ;Tipes;Fashion;-7.5797235;110.8076223;;
Daster Sambung Sawitri;membuat pakaian wanita ;Serengan ;Tipes;Fashion;-7.5796412;110.8080711;;
Top Collection;berdagang pakaian ;Pasar Kliwon;"Ps.Batik Cinderamata,
Jl.K.H Hasyim Ashari No 2 ,Kauman ,Ps Kliwon ,Kota Surakarta 
Jawa Tengah";Fashion;-7.5734049;110.8279977;;
Semiyati;MENJUAL ,GULA,ROTI,TEH dll;Banjarsari;Jk. Gunung Kelud No.30;Lain-lain;-7.545550777777770;110.82865141666600;;
Kios Berkat;MENJUALBERAS,GULA,SUSU,GULA,TEH dll;Banjarsari;Nayu;Lain-lain;-7.5467285;110.827455;;
Penjahit Mbak Feri;MEMBUAT PAKAIAN SESUI PESANAN;Banjarsari;Gambirsari;Fashion;-7.5431025;110.8289162;;
Menjual Ayam Bakar;menjual ayam bakar;Pasar Kliwon;Jalan Lumbung Wetan;Kuliner;-7.5809914;110.8281784;;
Jual Bandeng;menjual bandeng;Laweyan;Karangasem Rt 1 Rw 5;Lain-lain;-7.551162;110.7803993;;
Warung Kelontong Dhe Mus;Menjual beras, telur ayam, minyak goreng, rokok, dll;Pasar Kliwon;Jl. Trisula 3 No. 4 B;Lain-lain;-7.5724953;110.8259432;;
Warung Luwes;berjualan sembako dan kebutuhan sehari hari ;Jebres;Warung Luwes;Lain-lain;-7.5646629;110.8314934;;
Warung Makan Mb Ine;aneka nasi dan sayur masakan jawa;Laweyan;Baron Cilik;Kuliner;-7.5719;110.804135;;
Sofi Craft;menerima pesanan goody bag1;Laweyan;Baron Cilik;Kriya;-7.5718232;110.8039993;;
Konveksi Pak Untung;Jasa menjahit kaos olah raga apabila ada pemesanan ;Pasar Kliwon;Gambuhan Rt 004 Rw 001 Baluwarti Pasar Kliwon Surakarta ;Fashion;-7.5760452;110.8245358;;
Ayam Bakar Pak Wid;menjual ayam bakar;Pasar Kliwon;Jln Sasonomulyo Rt  004 Rw 001 Baluwarti Pasar Kliwon Surakarta ;Kuliner;-7.5767005;110.8253781;;
Adl Store;membuat daster;Banjarsari;Jl Letjen Sutoyo 127 Ngadisono Rt 03 Rw 01 Banjarsari Solo Jateng;Fashion;-7.5468031;110.8290759;;
Warung Berkah;menjual kebutuhan sehari hari ( warung kelontong );Laweyan;Karangasem Rt 2 Rw 5;Lain-lain;-7.5509345;110.7805722;;
Pangkalan Gas Giyanti;pangkalan /pengecer gas subsidi 3kg;Pasar Kliwon;Sangkrah Rt 3/1;Lain-lain;-7.5765164;110.8379253;;
Wedangan;bahan. makan siap saji gorengan. siap jual;Pasar Kliwon;Sawahan Sangkrah;Kuliner;-7.5792577;110.8410858;;
Warung Kelontong Ani;Menjual kelontong seperti beras, minyak goreng,  tepung, telur, dll;Pasar Kliwon;Jl. Wijaya Kusuma ;Lain-lain;-7.5743503;110.8249811;;
Toko Pakan Ternak Hs Jaya;Menjual segala jenis pakan ternak;Pasar Kliwon;Jl.  Wijaya Kusuma No. 3;Lain-lain;-7.574287;110.8250477;;
Peyek, Karak, Intip;menjual peyek, karak, intip goreng;Serengan ;Peyek Kacang, Karak Dan Intip;Kuliner;-7.5811245;110.8101966;;
Warung Nasi Mbak Herlin;Menjual berbagai macam nasi dan makanan lauk pauk lainya ;Pasar Kliwon;Sangkrah Rt 02 Rw 04, Pasar Kliwon, Surakarta;Kuliner;-7.5746063;110.8364791;;
Indonesiani Snack;Produksi cabuk sumsum sapi,sosis basah,abon,rambak petis;Jebres;Purwopuran;Kuliner;-7.5634182;110.8364791;;
Aisha Frozen Food;memasarkan berbagai macam produk olahan makanan Frozen food;Jebres;Purwopuran;Kuliner;-7.5643577;110.8368226;;
Penjahit Suwardiyanto;terimakasih jasa pembuatan pakaian;Banjarsari;Ngadisono Rt 03/02 Joglo Banjarsari Solo Jateng;Fashion;-7.5466414;110.8292633;;
Snack Mbk Yati;memproduksi dan menjual berbagai macam Snack ;Jebres;Purwopuran;Kuliner;-7.5641583;110.8368617;;
Toko Kelontong Berkah;menjual sembako dan kebutuhan sehari hari;Jebres;Purwopuran;Lain-lain;-7.5641087;110.837148;;
Siomay Bandung A'Dewo;memproduksi dan menjual siomay khas bandung;Jebres;Purwopuran;Kuliner;-7.5639473;110.8371271;;
Toko Kelontong Mekkar Segar;toko kelontong eceran;Jebres;Purwopuran;Lain-lain;-7.5634552;110.835734;;
Umkm Online Solo;jualan pakaian jadi dewasa dan anak anak secara online ;Jebres;Purwopuran;Fashion;-7.5634182;110.8364791;;
Air Minum;menjual air minum;Laweyan;Jajar;Lain-lain;-7.553648;110.7898861;;
Mie Pawon;MENJUAL MAKANAN DAN MINUMAN;Laweyan;Jl Kh Samanhudi No 38;Kuliner;-7.5681237;110.8023166;;
Wedangan Pojok Sd Mangkuyudan;MENJUAL MAKANAN;Laweyan;Jl Kh Samanhudi No 36;Kuliner;-7.5683441;110.8028587;;
Bakso Mas Eko;Menjual Makanan Bakso dan Minuman;Laweyan;Purwosari;Kuliner;-7.5677737;110.8012566;;
Salon Liana;Jasa salon wanita;Jebres;Tegalharjo Rt.03 Rw.06, Tegalharjo, Jebres, Surakarta ;Lain-lain;-7.5589203;110.8340051;;
Gorengan Bu Dewi;Membuat dan Menjual Gorengan dengan Cara Dititipkan di angkringan sekitar rumah;Laweyan;Todipan;Kuliner;-7.5668738;110.7999188;;
Penjahit Win'S;jasa jahit dan permak baju;Banjarsari;Priyobadan ;Fashion;-7.5674023;110.8155699;;
Omah Juice Keprabon;Menjual Jus dari Buah Segar;Banjarsari;Jl. Sugiyopraonoto H28;Lain-lain;-7.5671755;110.8249859;;
Warung Minang;Warung Makan;Laweyan;Penumping Rt 3 Rw 4 Laweyan Surakarta;Kuliner;-7.5672596;110.8068647;;
Warung Kelontong Suparyono;Menjual Minuman, makanan, rokok, air mineral, snack;Jebres;Tegalharjo Rt.02 Rw.05, Tegalharjo Jebres Surakarta ;Lain-lain;-7.5604357;110.8326076;;
Sembako Bu Yatmi;Menjual Sembako;Jebres;Tegalharjo Rt 02 Rw.05, Tegalharjo, Jebres Surakarta ;Lain-lain;-7.5603495;110.8326113;;
Toko Kelontong;berjualan kelontong ;Jebres;Tegalharjo Rt 5/5 Jebres Surakarta;Lain-lain;-7.5605556;110.8331435;;
Warung Makan Bu Suripto;menjual nasi sayur dan minuman ;Pasar Kliwon;Jalan Sungai Negara;Kuliner;-7.575980555555550;110.83379166666600;;
Jok Kursi Sofa Jamal;Jasa membuat jok kursi dan jok mobil di toko;Pasar Kliwon;Sangkrah;Lain-lain;-7.5794487;110.8386968;;
Tirsam;menjual babi kecap, bakso Goreng, tahu, siomay;Jebres;Balong ;Kuliner;-7.5684499;110.8346283;;
Es Batu Mbak Dwi;Menjual Es Batu;Banjarsari;Panti Jeksan Mn;Kuliner;-7.5685363;110.8225733;;
Toko Ijah;menjual kebutuhsn pokok;Pasar Kliwon;Sewu;Lain-lain;-7.5721665;110.8420135;;
Toko Bu Esi;Toko kelontong kebutuhan rumah tangga sehari hari;Pasar Kliwon;Jalan Wentar Rt 03 Rw 06 Kampungbaru;Lain-lain;-7.5652391;110.8281528;;
Elektro Plating;MEMBUAT EMBLEM,  NAMA DADA;Pasar Kliwon;Semanggi;Lain-lain;-7.5877526;110.8387389;;
Salon Kitty;Jasa Salon wanita;Banjarsari;Cinderejo Kidul Rt.06 Rw.09, Gilingan, Banjarsari, Surakarta ;Lain-lain;-7.5574183;110.83286;;
Nugroho Cell;Penjualan kartu perdana, isi pulsa, paket data, aksesoris handphone;Pasar Kliwon;Jalan Wentar Rt 03 Rw 06 Kampungbaru Surakarta;Digital;-7.565291;110.827962;;
Nadhira Kitchen;Jasa tata boga/ katering/ makanan pesanan untuk hajatan maupun ;Pasar Kliwon;Kampungbaru Rt 03 Rw 06 Kecamatan Pasar Kliwon Kota Surakarta;Kuliner;-7.5655905;110.8279942;;
Warung Nasi Bu Sri;Menjual makanan di rumah;Pasar Kliwon;Jogoprajan;Kuliner;-7.583333333333330;110.82416666666600;;
Gas Dan Galon Edi;Menjual gas dan air minum galon;Pasar Kliwon;Jogoprajan;Lain-lain;-7.585277777777770;110.825;;
Warung Makan Mbah Joss;menjual berbagai makanan di warung;Pasar Kliwon;Sangkrah;Kuliner;-7.5739565;110.8341255;;
Warung Soto Dan Kare Bu Sriti;menjual soto dan karena di warung;Pasar Kliwon;Sangkrah;Kuliner;-7.5771952;110.8370846;;
Jaya Cell;menjual berbagai macam vouchee pulsa handphone di toko;Pasar Kliwon;Sangkrah;Digital;-7.5791142;110.8389534;;
Jual Minuman Dingin Soft Drink;menjual berbagai macam minuman dingin di rumah;Pasar Kliwon;Sangkrah;Lain-lain;-7.5789028;110.8386821;;
Timlo Joyo Arjuna;memasak ;Jebres;Jln Suryo 41 ;Kuliner;-7.5648477;110.8376036;;
Katering;beli bhn sesuai oesanan. olah. kirim jadi berupa kemasan dus;Pasar Kliwon;Sawahan;Kuliner;-7.5776178;110.8402044;;
Warmindo;menjual nasi goreng;Banjarsari;Jln Rm Said;Kuliner;-7.5647174;110.8217213;;
Warung Bakmi Pak Sarino;menjual bakmi, cap cay, nasgor di warung;Pasar Kliwon;Sangkrah;Kuliner;-7.5786305;110.8390775;;
Numani;menerima pesanan /orderan.belanja kebtuhan .lalu diolah.;Banjarsari;Jl.Ra Kartini No 3 Komplek Masjid Al'Wustho Mangkunegaran.Ketelan ;Lain-lain;-7.5655005;110.8212557;;
Toko Andika;Sembako Dan Gas Elpiji;Pasar Kliwon;Menangan Rt 05 Rw 01 Kelurahan Joyosuran Kecamatan Pasarkliwon Kota Surakarta;Lain-lain;-7.5851388;110.8278428;;
Toko Nr;Menjual Makanan Ringan;Pasar Kliwon;Menangan Rt 07 Rw 01 Kelurahan Joyosuran Kecamatan Pasarkliwon Kota Surakarta;Kuliner;-7.5848789;110.8281343;;
Mie Ayam Pak Mul;menjual mie ayam;Pasar Kliwon;Kedung Lumbu;Kuliner;-7.5754915;110.8305747;;
Warung Wedangan Mbak Sri;menjual nasi sayur, nasi soto dan aneka minuman di warung dekat rumah;Jebres;Petoran;Kuliner;-7.560876833333330;110.84782408333300;;
Toko Alat Jahit Ambar;menjual alat perlengkapan jahit;Laweyan;Jl Anggur V No. 3;Fashion;-7.5574148;110.7863905;;
Laundry Arummy;Melakukan laundry pakaian;Serengan ;Jogprajan;Lain-lain;-7.584444444444440;110.82388888888800;;
Warung Kelontong Bu Juminten;Menjual kebutuhan pokok di rumah;Pasar Kliwon;Jogoprajan;Lain-lain;-7.583888888888880;110.82416666666600;;
Warung Makan Bu Seksi;menjual nasi sayur,nasi soto,es teh dan es jeruk;Jebres;Tegal Harjo;Kuliner;-7.5403433;110.82458;;
Gorengan Tempura;menjual tempura,sosis,naget,cireng;Banjarsari;Sumber Nayu;Kuliner;-7.5463634;110.8260353;;
Warung Klontong Marno;menjual beras,susu,gula,kopi,mie dll;Jebres;Tegal Harjo;Lain-lain;-7.540263;110.823782;;
Warung Klontong Bu Suratmi;menjual gula,kopi,kecap dll;Jebres;Tegal Harjo;Lain-lain;-7.54019;110.8253234;;
Penjahit Ibu Hartatik;jasa menjahit baju;Banjarsari;Pundung Gede;Fashion;-7.5408921;110.8257726;;
Dika Laundry;jasa laundry;Banjarsari;Pundung Gede;Lain-lain;-7.5405834;110.8257456;;
Warung Makan Mbah Man;menjual bakso,mie ayam dan es buah;Banjarsari;Nayu;Kuliner;-7.5467535;110.826565;;
Penjahit Lestari;jasa menjahit baju;Banjarsari;Pendung Gede ;Fashion;-7.5409167;110.825805;;
Warung Makan Pak Man Kumis;Menjual nasi soto,nasi sayur dan es teh,es jeruk;Jebres;Tegal Harjo;Kuliner;-7.54025;110.8237649;;
Bedjan Tech;Reparasi mobil;Banjarsari;Jl. Tulang Bawang 2, Tegalsari Kadipiro;Lain-lain;-7.5356145;110.8139023;;
Warung Soto Mama Ayu;Warung Soto;Banjarsari;Sumpingan Kadipiro Solo;Kuliner;-7.538462;110.81149997222200;;
Tahu Crispy A2B;Kedai makanan Tahu crispy;Banjarsari;Sumpingan Kadipiro Solo;Kuliner;-7.537923;110.81095897222200;;
Warung Mbak Antik;Warung makanan;Banjarsari;Sumpingan;Kuliner;-7.538576;110.811526;;
Penjahit Sri Mulyati;penjahit pakaian ;Banjarsari;Sumpingan Kadipiro;Fashion;-7.537969;110.81129097222200;;
Warung Ibu Agus Kadipiro;Warung makan;Banjarsari;Kleco Kadipiro;Kuliner;-7.5386396;110.8122539;;
Ayam Bakar Eco Bu Tutik;Ayam Bakar;Banjarsari;Kleco;Kuliner;-7.5381936;110.8124078;;
Kost Bu Sugiyati;Rumah Kost;Banjarsari;Sumpingan;Lain-lain;-7.5366781;110.8101498;;
Toko Dm;Toko kelontong;Banjarsari;Sumpingan Kadipiro Surakarta;Lain-lain;-7.536819972222220;110.81076697222200;;
Warung Jajanan Mbak Evi;menjual Makanan Ringan & Minuman di Warung;Banjarsari;Panti Jeksan Mn;Kuliner;-7.5668265;110.823687;;
Warung Nasi Bandeng Pak Di;Menjual nasi Bandeng;Banjarsari;Panti Jeksan Mn;Kuliner;-7.5669682;110.8238196;;
Karak Bu Ripto;Membuat Karak di Rumah;Banjarsari;Panti Jeksan Mn;Kuliner;-7.5671083;110.8238512;;
Edi Wedding;RIAS MANTEN dan SEWA PAKAINA;Banjarsari;Panti Jeksan Mn;Lain-lain;-7.567079;110.824098;;
Wedang Ronde;Menjual Wedang Ronde;Banjarsari;Panti Jeksan;Kuliner;-7.5666076;110.8238606;;
Pergedel Bu Wiwik;Memproduksi dan menjual Perkedel di warung;Banjarsari;Keprabon Lor;Kuliner;-7.568104;110.825387;;
Karak Bu Warsih;Membuat Karak;Banjarsari;Panti Jeksan Mangkunegaran;Kuliner;-7.5669965;110.8239073;;
Pakan Burung Berkah;menjual pakan burung;Laweyan;Panularan;Lain-lain;-7.5746197;110.8064;;
Sandal Ramelan;menjual sandal;Laweyan;Panularan;Kriya;-7.5747047;110.8064551;;
Warung Jenang Tumpang Bu Ratmi;menjual jenang;Laweyan;Panularan;Kuliner;-7.574695;110.8063884;;
Produksi Telur Asin;membuat dan menjual telur asin;Laweyan;Panularan;Kuliner;-7.5746848;110.8063819;;
Warung Soto Bu Darno;menjual nasi;Laweyan;Panularan;Kuliner;-7.574689;110.8063915;;
Pak Blankon;menjual Blankon;Laweyan;Panularan;Fashion;-7.5746859;110.8063879;;
Sembako Pak Sukiman;menjual sembako dan kebutuhan sehari hari;Laweyan;Panularan;Lain-lain;-7.5746679;110.8063558;;
Bolu Gulung Taqiyya Cake;menjual roti  ;Laweyan;Panularan;Kuliner;-7.5747218;110.8063654;;
Martabak Telur;menjual makanan;Laweyan;Panularan;Kuliner;-7.5746151;110.8063812;;
Es Goreng Widi;menjual es goreng dan es kucir;Laweyan;Panularan;Kuliner;-7.5746831;110.8063594;;
Warung Makan Bu Cip;menjuan nasi sayur dan lauk;Laweyan;Panularan;Kuliner;-7.5747009;110.8063475;;
Rumah Ofah;menjual pakaian;Laweyan;Panularan;Fashion;-7.5746415;110.8064101;;
Penjahit Saini;vermak pakaian;Laweyan;Panularan;Fashion;-7.5746217;110.8064357;;
Kulit Martabak;menjual martabak;Laweyan;Panularan;Kuliner;-7.4956008;110.8064988;;
Kedai Kopi Karin;Menjual minuman;Laweyan;Panularan;Kuliner;-7.5746202;110.8064519;;
Blankom Aziz;membuat Blankon;Laweyan;Panularan;Fashion;-7.5746875;110.8063853;;
Kelontong Erma;menjual sembako;Laweyan;Panularan;Lain-lain;-7.5746198;110.8063348;;
Jajanan Pasar;menjual makanan tradisional;Laweyan;Panularan;Kuliner;-7.5747398;110.8063714;;
Ikan Goreng Tepung;Menjual makanan;Laweyan;Panularan;Kuliner;-7.5745338;110.8063035;;
Martabak Super Simbok;membuat dan menjual martabak;Laweyan;Panularan;Kuliner;-7.5746657;110.8063603;;
Salon Kurnia;menjual jasa salon ;Laweyan;Panularan;Lain-lain;-7.5746413;110.8064009;;
Daster Sambung Kain Perca;membuat daster sambung dewasa dan anak2 dari kain perca;Serengan ;Pringgolayan;Fashion;-7.5825573;110.8111634;;
Soto Ayam Mbk Sri;warung soto dan masakan jawa;Pasar Kliwon;Jalan Nusa Penida Kampungbaru ;Kuliner;-7.5716016;110.8282919;;
Warung Masakan Padang Jowo Bu Mur;Warung masakan padang jawa ;Banjarsari;Kleco Rt 004/006 Kadipiro Solo;Kuliner;-7.538679;110.81220197222200;;
Sambal Pecel;membuat sambal pecel;Laweyan;Jajar;Kuliner;-7.5541433;110.785355;;
Toko Kelontong Bu Pariyem;Menjual Sembako di Toko;Banjarsari;Panti Jeksan;Lain-lain;-7.5673611;110.8239733;;
Iklan Seni Rupa Pak Supri;membuat kerajinan lukisan ;Jebres;Mijen ;Kriya;-7.5684744;110.83476;;
Kompor Bekas Yanuri;menjual kompor bekas;Jebres;Penjalan;Lain-lain;-7.5742457;110.8385395;;
Kios Kelontong;jual beli;Laweyan;Jantirejo Jalan Truntum 5 ;Lain-lain;-7.5636357;110.7936477;;
Ww Cellular;penjualan pulsa dan kartu perdana;Laweyan;Jalan Samanhoedi No 166 Sondakan Laweyan Surakata;Digital;-7.5639303;110.7920438;;
Bune Agel;Menjual Makanan dan Minuman;Pasar Kliwon;Pamedan Timur;Kuliner;-7.567811787264170;110.82380075007600;;
Warung Aji;Menjual Makanan dan Minuman;Pasar Kliwon;Pamedan Timur;Kuliner;-7.565458369665040;110.82389395684000;;
Warung Makan Mbah Narti;Menjual Nasi Sayur;Banjarsari;Keprabon Lor;Kuliner;-7.5681451399685400;110.82573529332800;;
Warung Bu Ti;Menjual Aneka Gorengan Dan Jamu Tradisional;Pasar Kliwon;Pamedan Timur;Kuliner;-7.567424260267000;110.82247070968100;;
Wedangan Bu Atik;Menjual Nasi dan Lauk pauk;Pasar Kliwon;Jl Diponegoro, Keprabon Kulon;Kuliner;-7.568037124414580;110.82218874245800;;
Warung Makan Mb Titi;Menjual Makanan Sayur di warung;Pasar Kliwon;Keprabon Wetan;Kuliner;-7.5697851;110.8250224;;
Warung Sor Asem;menjual aneka makanan sayur gorengan dan es;Pasar Kliwon;Jalan Kapten Mulyadi 106 Pasar Kliwon ;Kuliner;-7.5762982;110.83222;;
Toko Mbak Nana;jualan ;Jebres;Jln. Sedutan 2 Kerkov ;Lain-lain;-7.5637492;110.8391635;;
Warung Bu Nani;menjual berbagai macam sayur, gorengan dan es;Jebres;Mijen;Kuliner;-7.5684601;110.8346394;;
Mbah Man Motor;MENJUAL SEPEDA MOTOR BEKAS;Pasar Kliwon;Semanggi;Lain-lain;-7.5835246;110.8373138;;
Toko Kelontong Rahayu;MENJUAL SEMBAKO DAN GAS 3KG;Pasar Kliwon;Semanggi;Lain-lain;-7.5836603;110.8374958;;
Toko Mbak Tini;MENJUAL SEMBAKO;Pasar Kliwon;Semanggi;Lain-lain;-7.5834033;110.837755;;
Wdangan Pak Joko;MENJUAL NASI DAN MINUMAN;Pasar Kliwon;Semanggi;Kuliner;-7.5856604;110.8364199;;
Penjahit Lasiyem;membuat pakaian;Laweyan;Jajar;Fashion;-7.5544638;110.7859381;;
Wedangan/Warung Sore Komplit Yu Jum;memasak nasi.sayur.menjual aneka minuman hangat/dingin.menjual juga aneka lauk titipan;Pasar Kliwon;Sangkrah 3/5;Kuliner;-7.5765649;110.8372587;;
Toko Kelontong;jual berbagai kebutuhan di toko;Pasar Kliwon;Sangkrah;Lain-lain;-7.5792038;110.8378278;;
Toko Pojok Jaya;menjual kebutuhan sehari hari;Laweyan;Jl Anggur 1 No. 8;Lain-lain;-7.5577623;110.7881428;;
Toko Vio;menjual aneka kebutuhan sehari hari;Laweyan;Jl Anggur;Lain-lain;-7.5577733;110.78816;;
Warung Kelontong Warsinah;warung kelontong menjual rokok, gula, minuman sascet, kopi;Jebres;Kadirejo ;Lain-lain;-7.5722718;110.8403093;;
B-Tery;produksi sambel bawang teri;Laweyan;Jl Adi No76;Lain-lain;-7.5649733;110.8314022;;
Wedangan Bu Wanti;Menjual Aneka Gorengan dan Nasi Bungkus;Pasar Kliwon;Pamedan Timur;Kuliner;-7.568079998283850;110.82321871072000;;
Toko Mayla;Menjual Sembako dan makanan ringan;Pasar Kliwon;Jl Sugiyopranoto, Keprabon Lor;Lain-lain;-7.567464807704970;110.82592371851200;;
Penjahit Indri;menjahit pakaian yg diambil dari konvensi kecil;Jebres;Kepatihan Wetan Jl Aru 17D;Fashion;-7.5626181;110.8329478;;
Austin Parfume;Menjual Parfume;Pasar Kliwon;Pamedan Timur;Lain-lain;-7.567811787264170;110.82380075007600;;
Penjahit Linah;menjahit baju pesanan ;Jebres;Jl Kepatihan Wetan ;Fashion;-7.5655235;110.8319116;;
Zefa Soup;menjual Makanan;Jebres;Pasar Besar Barat Lt 2;Kuliner;-7.5688879;110.8314667;;
Dapur Mamaku Uns;membuat makanan kue berminyak;Jebres;Gulon;Kuliner;-7.5496844;110.8622681;;
Nasi Komplit Bu Ningsih;Menjual berbagai jenis nasi;Jebres;Tegalharjo Rt. 04 Rw. 04, Tegalharjo, Jebres Surakarta ;Kuliner;-7.5602919;110.8318945;;
Warung Bu Jami;menjual nasi ayam geprek dan aneka minuman;Jebres;Kaplingan;Kuliner;-7.5461861;110.8662547;;
Khalila Frozen Food;menjual secara eceran makanan frozen food atau makanan olahan.;Jebres;Petoran;Kuliner;-7.5633;110.84524;;
Warung Penyet Bandung;menjual aneka makanan dan minuman ;Jebres;Fakultas Pertanian Uns;Kuliner;-7.5606815;110.8585414;;
Toko Vania;menjual aneka kebutuhan rumah tangga makanan,bukan makanan dan rokok tembakau;Jebres;Ngoresan;Lain-lain;-7.5541908;110.8614893;;
Warung Soto Mutiara;menjual makanan dan minuman ;Jebres;Ngoresan;Kuliner;-7.5504799;110.8624433;;
Warung Bu Yamti;menjual aneka kebutuhan rumah tangga atau toko kelontong;Jebres;Ngoresan;Lain-lain;-7.5551833;110.862048;;
Tiara Pets;Menjual Makanan Hewan;Banjarsari;Jl Sugiyopranoto, Keprabon Lor;Kuliner;-7.567382383400840;110.82562029361700;;
Laundry Diana;menerima pencucian pakaian dan lain lain atau penatu;Jebres;Gulon;Lain-lain;-7.5503013;110.860929;;
Depot Es Kelapa Muda Bu Sri;menjual es degan dan minuman lain;Jebres;Gulon;Kuliner;-7.5503953;110.8629541;;
The Tama Kitchen;menjual makanan;Jebres;Jl.Urip Sumoharjo No 19,Kios Pasar Besar Lt 2;Kuliner;-7.5688792;110.8314632;;
Karonina;membuat furnitur rumah tangga / kantor dengan bahan kayu;Jebres;Petoran;Lain-lain;-7.560572166666660;110.84783172222200;;
Snakehead Java;Menjual aneka ikan hias;Pasar Kliwon;Sangkrah Rt 06 Rw 10;Lain-lain;-7.5786233;110.8391828;;
Takoyaki Dan Okonomoyaki Ratu;menjual takoyaki dan okonomiyaki secara online;Jebres;Tegalkuniran;Kuliner;-7.557713055555550;110.84839627777700;;
